CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL71	6216	CHEMBL71	6216	CHLORPROMAZINE	CHLORPROMAZINE	318.86	4.74	31.78	0	CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13	7709902	IC50	=	3.851	nM	8.41	IC50	=	.003851	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	774690	CHEMBL1909211	B	DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2A radioligand binding (ligand: [3H] Ketanserin)	15	DrugMatrix			32644	Autocuration	BAO_0000249	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	59306	CHEMBL1909046							485	CHEMBL3307512	CHO-K1
CHEMBL1729	557741	CHEMBL1729	557741	CISAPRIDE	CISAPRIDE	465.95	2.79	86.05	0	COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c3cc(Cl)c(N)cc3OC	7686595	IC50	=	3.856	nM	8.41	IC50	=	.003856	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	774690	CHEMBL1909211	B	DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2A radioligand binding (ligand: [3H] Ketanserin)	15	DrugMatrix			32644	Autocuration	BAO_0000249	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	59306	CHEMBL1909046							485	CHEMBL3307512	CHO-K1
CHEMBL726	36842	CHEMBL726	36842	FLUPHENAZINE	FLUPHENAZINE	437.52	4.44	55.25	0	OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1	7670074	IC50	=	5.104	nM	8.29	IC50	=	.005104	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	774690	CHEMBL1909211	B	DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2A radioligand binding (ligand: [3H] Ketanserin)	15	DrugMatrix			32644	Autocuration	BAO_0000249	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	59306	CHEMBL1909046							485	CHEMBL3307512	CHO-K1
CHEMBL1732	558566	CHEMBL1732	558566	DIHYDROERGOTAMINE	DIHYDROERGOTAMINE	583.68	3.2	118.21	1	CN1C[C@@H](C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O	7700639	IC50	=	7.955	nM	8.1	IC50	=	.007955	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	774690	CHEMBL1909211	B	DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2A radioligand binding (ligand: [3H] Ketanserin)	15	DrugMatrix			32644	Autocuration	BAO_0000249	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	59306	CHEMBL1909046							485	CHEMBL3307512	CHO-K1
CHEMBL131482	216690	CHEMBL131482	216690		50	461.66	4.99	80.33	0	CC1SC2(CCCC2)C(=O)N1CCCCN3CCN(CC3)c4csc5cc(F)ccc45	1206832	IC50	=	8	nM	8.1	IC50	=	.008	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	2272	CHEMBL617058	B	Inhibitory concentration against human 5-HT2A receptor in BEK cells	1	Scientific Literature				Expert	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	8	Homologous protein			13631	CHEMBL1129432	8831770	J. Med. Chem.	1996	39	20	4044			
CHEMBL3216959	1705736	CHEMBL1852553	1193232		89	546.08	6.39	53.4	2	Cl.Cl.Cl.Cc1c(Cl)cccc1N2CCN(CCCNC(=O)c3nc(c4ccccc4)n(c3C)c5ccc(F)cc5)CC2	6338073	IC50	=	12.2	nM	7.91	IC50	=	12.2	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	766793	CHEMBL1827733	B	Displacement of [3H]ketanserin from human recombinant serotonin 5-HT2A receptor expressed in CHO-K1 cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	58879	CHEMBL1821711	21823597	J. Med. Chem.	2011	54	18	6305	485	CHEMBL3307512	CHO-K1
CHEMBL597151	603698	CHEMBL597151	603698		33	546.24	6.63	68.18	2	Cn1ncc(Br)c1c2cc(NC(=O)Nc3ccc(Cl)cc3)ccc2OCc4ccc(Cl)cc4	3121295	IC50	=	12.59	nM	7.9	pIC50	=	7.9				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	612567	CHEMBL1074221	B	Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	49664	CHEMBL1157565	20143782	J. Med. Chem.	2010	53	5	1923	722	CHEMBL3307715	HEK293
CHEMBL1065	138605	CHEMBL1065	138605	METHYSERGIDE	METHYSERGIDE	353.46	2.27	57.5	0	CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34	7749627	IC50	=	13	nM	7.89	IC50	=	.013	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	774690	CHEMBL1909211	B	DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2A radioligand binding (ligand: [3H] Ketanserin)	15	DrugMatrix			32644	Autocuration	BAO_0000249	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	59306	CHEMBL1909046							485	CHEMBL3307512	CHO-K1
CHEMBL1852373	1193052	CHEMBL1852373	1193052		Example 134	523.67	5.85	62.63	2	COc1ccc(cc1)n2cc(nc2c3ccccc3)C(=O)NCCCN4CCN(CC4)c5cccc(C)c5C	16260920	IC50	=	19	nM	7.72	IC50	=	19	nM	264274			BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528794	CHEMBL3705413	B	BindingDB_Patents: Binding Assay. For serotonin 5-HT2A binding, an aliquot of human recombinant serotonin 5-HT2A receptor (PerkinElmer Life and Analytical Sciences, USA) expressed in CHO-K1 cells (5 ug/well) and 1 nM [3H]Ketanserin (PerkinElmer) were used in the presence of mianserin (20 uM) as a nonspecific. The reaction mixture was incubated for 60 min at 27Â° C. using 50 mM Tris-HCl (pH 7.4) buffer containing 4 mM CaCl2 and 0.1% ascorbic acid, and harvested through filtermate A glass fiber filter (Wallac, Finland) presoaked in 0.5% polyethyleneimine (PEI) by microbeta filtermate-96 harvester (PerkinElmer) to terminate the reaction, and then washed with ice cold 50 mM Tris-HCl buffer solution (pH 7.4). The filter was then covered with MeltiLex, sealed in a sample bag, dried in an oven. The radioactivity retained in the filter was finally counted using MicroBeta Plus (Wallac). For serotonin 5-HT2C binding, frozen membranes from stable CHO-K1 cell line expressing the human recombinant 5-HT2C receptor.	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	94521	CHEMBL3638464			2014						
CHEMBL6437	573	CHEMBL6437	573	MIANSERIN	Mianserin	264.36	3.71	6.48	0	CN1CCN2C(C1)c3ccccc3Cc4ccccc24	1174788	IC50	=	20.89	nM	7.68	pIC50	=	7.68				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	33212	CHEMBL643237	B	Binding affinity for human cloned Alpha-2A adrenergic receptor	1	Scientific Literature				Autocuration	BAO_0000357	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	8	Homologous protein			5105	CHEMBL1135381	11755365	Bioorg. Med. Chem. Lett.	2002	12	2	249			
CHEMBL3217141	1705918	CHEMBL1229300	691651		61	472.41	4.52	64.26	0	Cl.Cl.Cl.Cl.Cc1[nH]c(cc1C(=O)NCCCN2CCN(CC2)c3cccc(Cl)c3Cl)c4ccccn4	3403279	IC50	=	21	nM	7.68	IC50	=	21	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	647226	CHEMBL1217367	B	Displacement of [3H]ketanserin from human recombinant 5HT2A expressed in CHOK1 cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	52205	CHEMBL1212860	20637635	Bioorg. Med. Chem.	2010	18	16	6156	485	CHEMBL3307512	CHO-K1
CHEMBL3681363	2014474	CHEMBL3681363	2014474		Example 114	449.56	4.49	53.4	0	Cc1cccc(N2CCN(CCNC(=O)c3nc(C)n(c3C)c4ccc(F)cc4)CC2)c1C	16278114	IC50	=	23	nM	7.64	IC50	=	23	nM	264267			BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528794	CHEMBL3705413	B	BindingDB_Patents: Binding Assay. For serotonin 5-HT2A binding, an aliquot of human recombinant serotonin 5-HT2A receptor (PerkinElmer Life and Analytical Sciences, USA) expressed in CHO-K1 cells (5 ug/well) and 1 nM [3H]Ketanserin (PerkinElmer) were used in the presence of mianserin (20 uM) as a nonspecific. The reaction mixture was incubated for 60 min at 27Â° C. using 50 mM Tris-HCl (pH 7.4) buffer containing 4 mM CaCl2 and 0.1% ascorbic acid, and harvested through filtermate A glass fiber filter (Wallac, Finland) presoaked in 0.5% polyethyleneimine (PEI) by microbeta filtermate-96 harvester (PerkinElmer) to terminate the reaction, and then washed with ice cold 50 mM Tris-HCl buffer solution (pH 7.4). The filter was then covered with MeltiLex, sealed in a sample bag, dried in an oven. The radioactivity retained in the filter was finally counted using MicroBeta Plus (Wallac). For serotonin 5-HT2C binding, frozen membranes from stable CHO-K1 cell line expressing the human recombinant 5-HT2C receptor.	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	94521	CHEMBL3638464			2014						
CHEMBL1852777	1193456	CHEMBL1852777	1193456		Example 156	564.51	5.79	73.63	2	Cc1c(nc(c2ccccc2)n1c3ccccc3)C(=O)NCC(O)CN4CCN(CC4)c5cccc(Cl)c5Cl	16279031	IC50	=	24	nM	7.62	IC50	=	24	nM	264296			BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528794	CHEMBL3705413	B	BindingDB_Patents: Binding Assay. For serotonin 5-HT2A binding, an aliquot of human recombinant serotonin 5-HT2A receptor (PerkinElmer Life and Analytical Sciences, USA) expressed in CHO-K1 cells (5 ug/well) and 1 nM [3H]Ketanserin (PerkinElmer) were used in the presence of mianserin (20 uM) as a nonspecific. The reaction mixture was incubated for 60 min at 27Â° C. using 50 mM Tris-HCl (pH 7.4) buffer containing 4 mM CaCl2 and 0.1% ascorbic acid, and harvested through filtermate A glass fiber filter (Wallac, Finland) presoaked in 0.5% polyethyleneimine (PEI) by microbeta filtermate-96 harvester (PerkinElmer) to terminate the reaction, and then washed with ice cold 50 mM Tris-HCl buffer solution (pH 7.4). The filter was then covered with MeltiLex, sealed in a sample bag, dried in an oven. The radioactivity retained in the filter was finally counted using MicroBeta Plus (Wallac). For serotonin 5-HT2C binding, frozen membranes from stable CHO-K1 cell line expressing the human recombinant 5-HT2C receptor.	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	94521	CHEMBL3638464			2014						
CHEMBL1201203	675154	CHEMBL1201203	675154	BENZTROPINE	BENZTROPINE	307.43	3.88	12.47	0	CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4	7619370	IC50	=	24	nM	7.62	IC50	=	.024	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	774690	CHEMBL1909211	B	DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2A radioligand binding (ligand: [3H] Ketanserin)	15	DrugMatrix			32644	Autocuration	BAO_0000249	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	59306	CHEMBL1909046							485	CHEMBL3307512	CHO-K1
CHEMBL1214304	686156	CHEMBL1229288	691639		48	513.5	6.75	40.51	2	Cl.CCCn1c(C)c(C(=O)NCCN2CCN(CC2)c3cccc(Cl)c3Cl)c(C)c1c4ccccc4	3403242	IC50	=	25	nM	7.6	IC50	=	25	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	647226	CHEMBL1217367	B	Displacement of [3H]ketanserin from human recombinant 5HT2A expressed in CHOK1 cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	52205	CHEMBL1212860	20637635	Bioorg. Med. Chem.	2010	18	16	6156	485	CHEMBL3307512	CHO-K1
CHEMBL3217169	1705946	CHEMBL1852500	1193179		67	507.67	6.01	53.4	2	Cl.Cl.Cc1cccc(N2CCN(CCCNC(=O)c3nc(c4ccccc4)n(c3C)c5ccccc5)CC2)c1C	6338007	IC50	=	29.4	nM	7.53	IC50	=	29.4	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	766793	CHEMBL1827733	B	Displacement of [3H]ketanserin from human recombinant serotonin 5-HT2A receptor expressed in CHO-K1 cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	58879	CHEMBL1821711	21823597	J. Med. Chem.	2011	54	18	6305	485	CHEMBL3307512	CHO-K1
CHEMBL1852516	1193195	CHEMBL1852516	1193195		Example 8	472.41	4.64	53.4	0	Cc1nc(C(=O)NCCN2CCN(CC2)c3cccc(Cl)c3Cl)c(C)n1c4ccccc4	16311968	IC50	=	31	nM	7.51	IC50	=	31	nM	19821			BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528794	CHEMBL3705413	B	BindingDB_Patents: Binding Assay. For serotonin 5-HT2A binding, an aliquot of human recombinant serotonin 5-HT2A receptor (PerkinElmer Life and Analytical Sciences, USA) expressed in CHO-K1 cells (5 ug/well) and 1 nM [3H]Ketanserin (PerkinElmer) were used in the presence of mianserin (20 uM) as a nonspecific. The reaction mixture was incubated for 60 min at 27Â° C. using 50 mM Tris-HCl (pH 7.4) buffer containing 4 mM CaCl2 and 0.1% ascorbic acid, and harvested through filtermate A glass fiber filter (Wallac, Finland) presoaked in 0.5% polyethyleneimine (PEI) by microbeta filtermate-96 harvester (PerkinElmer) to terminate the reaction, and then washed with ice cold 50 mM Tris-HCl buffer solution (pH 7.4). The filter was then covered with MeltiLex, sealed in a sample bag, dried in an oven. The radioactivity retained in the filter was finally counted using MicroBeta Plus (Wallac). For serotonin 5-HT2C binding, frozen membranes from stable CHO-K1 cell line expressing the human recombinant 5-HT2C receptor.	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	94521	CHEMBL3638464			2014						
CHEMBL602285	602631	CHEMBL602285	602631		17a	506.7	5.15	65.13	2	O=S(=O)(N(CCCN1CCN(CC1)c2ccccc2)CC3CCCCC3)c4cccc5cccnc45	3091397	IC50	=	34.6	nM	7.46	IC50	=	34.6	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	608657	CHEMBL1067143	B	Displacement of [3H]ketanserin from human recombinant 5HT2A receptor expressed in avCHO-K1 cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	49591	CHEMBL1156889	20096593	Bioorg. Med. Chem.	2010	18	4	1665	485	CHEMBL3307512	CHO-K1
CHEMBL1214595	686450	CHEMBL1214595	686450		68	410.6	4.92	40.51	0	Cc1cccc(N2CCN(CCNC(=O)c3cc(n(C)c3C)C(C)(C)C)CC2)c1C	3403300	IC50	=	36	nM	7.44	IC50	=	36	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	647226	CHEMBL1217367	B	Displacement of [3H]ketanserin from human recombinant 5HT2A expressed in CHOK1 cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	52205	CHEMBL1212860	20637635	Bioorg. Med. Chem.	2010	18	16	6156	485	CHEMBL3307512	CHO-K1
