CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL1744460	1123031	CHEMBL1077195	615614		10	271.35	3.13	49.25	0	[3H]C([3H])([3H])N(c1ccc(cn1)c2nc3ccc(O)cc3s2)C([3H])([3H])[3H]	3185962	IC50	=	19	nM	7.72	IC50	=	19	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	614434	CHEMBL1110504	B	Displacement of [3H]PIB from human amyloid beta (1 to 40) after 30 mins by liquid scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			50522	CHEMBL1155386	20153963	Bioorg. Med. Chem. Lett.	2010	20	6	1976					
CHEMBL3629743	1969710	CHEMBL3629743	1969710		BDBM50129272	586	5.02	80.75	2	Fc1ccc(F)c2c1OC[C@H]3[C@]4(CCC[C@@]23S(=O)(=O)c5ccc(Cl)cc5)CCN(C4)S(=O)(=O)C(F)(F)F	17796697	IC50	=	23.3	nM	7.63	IC50	=	23.3	nM	436736		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1642419	CHEMBL3889142	B	Electrochemiluminescence (ECL)-Based Immunoassay: To measure γ-secretase activity, membranes were incubated at 37° C. for 1 h in 50 μL of buffer containing 20 mM Hepes (pH 7.0) and 2 mM EDTA. At the end of the incubation, Aβ 40 and Aβ 42 were measured using an electrochemiluminescence (ECL)-based immunoassay. Aβ 40 was identified with antibody pairs TAG-G2-10 and biotin-W02, while Aβ 42 was identified with TAG-G2-11 and biotin-4G8. The ECL signal was measured using an ECL-M8 instrument (IGEN International, Inc.) according to the manufacturer's instructions.	37	BindingDB Database				Autocuration	BAO_0000019	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	8	Homologous protein			103347	CHEMBL3886962			2016								
CHEMBL382880	345785	CHEMBL382880	345785		61	541.14	5.64	104.53	2	CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3Cl)c2)C1=O)C(=O)N	1710365	IC50	=	29	nM	7.54	IC50	=	29	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	350088	CHEMBL865069	F	Inhibition of beta-amyloid peptide production in CHO N9 cell line	1	Scientific Literature				Expert	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			31064	CHEMBL1147000	16473009	Bioorg. Med. Chem. Lett.	2006	16	9	2357					
CHEMBL1077208	615691	CHEMBL1077208	615691		16	284.34	2.5	80.9	0	CNc1ccc2nc(sc2c1)c3ccc(nc3)C(=O)N	3185974	IC50	=	35	nM	7.46	IC50	=	35	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	614434	CHEMBL1110504	B	Displacement of [3H]PIB from human amyloid beta (1 to 40) after 30 mins by liquid scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			50522	CHEMBL1155386	20153963	Bioorg. Med. Chem. Lett.	2010	20	6	1976					
CHEMBL3799641	2083329	CHEMBL3799641	2083329		7o	413.48	4.32	84.08	0	O=C(COC(=O)Cc1c[nH]c2ccccc12)Nc3c4CCCCc4nc5ccccc35	16572485	IC50	=	38.96	nM	7.41	IC50	=	38.96	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1573213	CHEMBL3803191	B	Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			99147	CHEMBL3797034	27061983	Eur. J. Med. Chem.	2016	116		200					
CHEMBL3798813	2083327	CHEMBL3798813	2083327		7m	432.48	4.02	97.75	0	COc1ccc(\C=C\C(=O)OCC(=O)Nc2c3CCCCc3nc4ccccc24)cc1O	16572483	IC50	=	46.12	nM	7.34	IC50	=	46.12	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1573213	CHEMBL3803191	B	Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			99147	CHEMBL3797034	27061983	Eur. J. Med. Chem.	2016	116		200					
CHEMBL1744459	1123030	CHEMBL1077198	615613		9	271.35	3.41	47.04	0	[3H]N(c1ccc(cn1)c2nc3ccc(OC)cc3s2)C([3H])([3H])[3H]	3185960	IC50	=	58	nM	7.24	IC50	=	58	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	614434	CHEMBL1110504	B	Displacement of [3H]PIB from human amyloid beta (1 to 40) after 30 mins by liquid scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			50522	CHEMBL1155386	20153963	Bioorg. Med. Chem. Lett.	2010	20	6	1976					
CHEMBL3914479	2123850	CHEMBL3914479	2123850		BDBM186066	399.76	3.31	103.48	0	C[C@]1(NC(=N)OCC1(F)F)c2nc(ccc2F)N=C(O)c3ncccc3Cl	17713823	IC50	=	88	nM	7.06	IC50	=	88	nM	335605		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1640387	CHEMBL3887110	B	Inhibition Assay: Chinese hamster ovary cells are transfected with the human gene for amyloid precursor protein. The cells are plated at a density of 8000 cells/well into 96-well microtiter plates and cultivated for 24 hours in DMEM cell culture medium containing 10% FCS. The test compound is added to the cells at various concentrations, and the cells are cultivated for 24 hours in the presence of the test compound. The supernatants are collected, and the concentration of amyloid peptide 1-40 is determined using state of the art immunoassay techniques, for example sandwich ELISA, homogenous time-resolved fluorescence (HTRF) immunoassay, or electro-chemiluminescence immunoassay. The potency of the compound is calculated from the percentage of inhibition of amyloid peptide release as a function of the test compound concentration.	37	BindingDB Database	Homo sapiens			Autocuration	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	8	Homologous protein			102554	CHEMBL3886169			2015								
CHEMBL236196	402160	CHEMBL236196	402160		rac-47	471.02	3.79	87.15	0	CCC1(O)CCN(CC1)C(=O)O[C@H]2CCC3CCCC2N3S(=O)(=O)c4ccc(Cl)cc4	1983186	IC50	=	104	nM	6.98	IC50	=	104	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	449193	CHEMBL899458	B	Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			36979	CHEMBL1137438	17761417	Bioorg. Med. Chem. Lett.	2007	17	19	5330					
CHEMBL274414	345609	CHEMBL274414	345609		66	536.72	5	113.76	2	CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(OC)cc3)c2)C1=O)C(=O)N	1710360	IC50	=	160	nM	6.8	IC50	=	160	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	350088	CHEMBL865069	F	Inhibition of beta-amyloid peptide production in CHO N9 cell line	1	Scientific Literature				Expert	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			31064	CHEMBL1147000	16473009	Bioorg. Med. Chem. Lett.	2006	16	9	2357					
CHEMBL3330737	1789736	CHEMBL3330737	1789736		7	504.64	8.6	64.33	2	OC(=O)\C(=C\c1ccc(s1)c2ccc(s2)c3ccc(cc3)N(c4ccccc4)c5ccccc5)\C#N	14999891	IC50	<	410	nM		IC50	<	.41	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1459447	CHEMBL3368553	B	Inhibition of amyloid beta (1-42) aggregation (unknown origin) after 24 hrs by thioflavin T fluorescence method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			90659	CHEMBL3352213	25086914	Eur. J. Med. Chem.	2014	85		228					
CHEMBL3667030	1999996	CHEMBL3667030	1999996		BDBM145851	575.46	5.24	113.37	2	CN(C)C(=O)CCC(C(=O)\C=C\c1ccc(O)c(OC(F)(F)F)c1)C(=O)\C=C\c2ccc(O)c(OC(F)(F)F)c2	17664985	IC50	=	500	nM	6.3	IC50	=	500	nM	282640		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528913	CHEMBL3705619	B	Binidng Assay: First, amyloid beta peptides (1-40, Peptide Institute, Minoh-shi, Osaka) were dissolved in a 50 mM phosphate buffer containing 100 mM sodium chloride (pH 7.5) such that the concentration of the amyloid beta peptides was 100 mM, and then the solution was left to stand for 16 hours at 30 C., thereby producing amyloid beta peptide aggregates. To these amyloid beta peptide, amyloid beta peptide aggregates that had been prepared in advance by the same method and sonicated for 30 minutes under 28-45-100 KHz variation were added by a 1/1000 quantity, whereby uniform amyloid beta peptide aggregates were prepared.The amyloid beta peptide aggregates prepared by the above method, thioflavin-T, and a measurement compound were added in a 50 mM phosphate buffer (pH 7.4) such that the final concentrations thereof were 1 uM, 3 uM, and 0.02 to 20 uM, respectively. The resultant solution was cause to react for 30 minutes at 23 C. with the light shielded.	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			94697	CHEMBL3638565			2015								
CHEMBL230931	383973	CHEMBL230931	383973		4d	522.07	3.38	90.39	1	OCCN1CCN(CC1)C(=O)OCCCC2CCc3ccccc3N2S(=O)(=O)c4ccc(Cl)cc4	1898625	IC50	=	680	nM	6.17	IC50	=	680	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	438619	CHEMBL888950	B	Inhibition of gamma-secretase	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			36017	CHEMBL1144650	17418571	Bioorg. Med. Chem. Lett.	2007	17	11	3010					
CHEMBL248131	412935	CHEMBL248131	412935		II-4	400.52	5.57	46.94	1	CN(C)c1ccc(\C=C\c2cccc(\C=C\c3ccc(N(C)C)c(O)c3)c2)cc1O	2021313	IC50	=	700	nM	6.16	IC50	=	.7	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	454313	CHEMBL903491	B	Inhibition of amyloid beta 42 fibril formation by thioflavin T assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			37438	CHEMBL1139129	17270435	Bioorg. Med. Chem. Lett.	2007	17	5	1466					
CHEMBL2179243	1440046	CHEMBL2179243	1440046		2	391.35	4.85	49.41	0	Clc1cc(c(Cl)s1)S(=O)(=O)Nc2ccc(cc2)N3CCCCC3	12143913	IC50	=	700	nM	6.16	IC50	=	.7	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	875926	CHEMBL2188039	B	Inhibition of aggregation of human DHFR-fused amyloid beta (1 to 42) expressed in yeast harboring erg6delta assessed as increase in yeast viability measured up to 20 hrs in presence of MTX	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			66615	CHEMBL2176928	23009151	J. Med. Chem.	2012	55	22	9521					
CHEMBL202507	336978	CHEMBL202507	336978		2	621.87	4.9	133.63	1	CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc2ccccc2	1674246	IC50	=	740	nM	6.13	IC50	=	.74	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	330621	CHEMBL853558	F	Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			30591	CHEMBL1148624	16451048	J. Med. Chem.	2006	49	3	839	5545	CHEMBL3706569	HEK-293T		
CHEMBL116438	190171	CHEMBL116438	190171	CURCUMIN	curcumin	368.39	3.85	96.22	0	COc1cc(\C=C\C(=C\C(=O)\C=C\c2ccc(O)c(OC)c2)\O)ccc1O	2021301	IC50	=	800	nM	6.1	IC50	=	.8	uM			1	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	454313	CHEMBL903491	B	Inhibition of amyloid beta 42 fibril formation by thioflavin T assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			37438	CHEMBL1139129	17270435	Bioorg. Med. Chem. Lett.	2007	17	5	1466					
